X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.236440476146,34.0560549566625,56393,Metropolitan Transportation Authority (MTA),1054069001,Transportation,Metro Stations,,LA County,Union Station,800 N. Alameda St.,,Los Angeles,CA,"Monday through Thursday, 9:00a to 7:00pm; Friday, 9:00am to 5:30pm; first and fourth Saturday of the month, 9:00am to 3:00pm.",(800) USA-RAIL / Amtrak Service/Intake (800) 872-7245,,http://www.metrolinktrains.com/stations/detail.php?id=131,,,58336,"Union Station is a major transportation hub in the County of Los Angeles.  It includes <a href=""http://www.amtrak.com/servlet/ContentServer?pagename=am/am2Station/Station_Page&amp;code=LAX"" target=""_blank"">Amtrak</a>, <a href=""http://www.metrolinktrains.com/stations/detail.php?id=131"" target=""_blank"">Metrolink</a>, and <a href=""http://www.metro.net/"" target=""_blank"">Metro Red Line and Gold Line</a> stops.

There are 1,162 parking spots at the station, nearby Paid Parking (Independent)<em> </em>

<em>Union Station - </em><em>8 Bike Rack Spaces
Gateway</em> <em>- 16 Bike Rack Spaces/32 Bike Lockers</em>",90012,http://egis3.lacounty.gov/lms/?p=58336,publish,34.05605499,-118.23644042,2013/06/04 14:27:31+00,,6490052.98269998,1842864.11310473
-118.192689056457,33.7680689678508,61131,Metropolitan Transportation Authority (MTA),80000001,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Long Beach Transit Mall,,,,,,,,http://www.metro.net/around/rail/blue-line/,,,63004,Blue Line,,http://egis3.lacounty.gov/lms/?p=63004,publish,33.768069,-118.192689,2012/03/22 17:11:17+00,,6503104.28172855,1738031.18891273
-118.189832056424,33.7680779676195,61132,Metropolitan Transportation Authority (MTA),80000002,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),1st Street Metro Station,,,,,,,,http://www.metro.net/around/rail/blue-line/,,,63005,Blue Line,,http://egis3.lacounty.gov/lms/?p=63005,publish,33.768078,-118.189832,2012/03/22 17:11:24+00,,6503972.64580546,1738032.81194098
-118.193715056529,33.7721369675158,61133,Metropolitan Transportation Authority (MTA),80000003,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Pacific Metro Station,,,,,,,,http://www.metro.net/around/rail/blue-line/,,,63006,Blue Line,,http://egis3.lacounty.gov/lms/?p=63006,publish,33.772137,-118.193715,2012/03/22 17:11:34+00,,6502795.29186097,1739512.24763039
-118.189364056264,33.7723479671298,61134,Metropolitan Transportation Authority (MTA),80000004,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),5th Street Metro Station,,,,,,,,http://www.metro.net/around/rail/blue-line/,,,63007,Blue Line,,http://egis3.lacounty.gov/lms/?p=63007,publish,33.772348,-118.189364,2012/03/22 17:11:41+00,,6504117.81743114,1739586.51651073
-118.189359056111,33.7823019678,61135,Metropolitan Transportation Authority (MTA),80000005,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Anaheim Metro Station,,,,,,,,http://www.metro.net/around/rail/blue-line/,,,63008,Blue Line,,http://egis3.lacounty.gov/lms/?p=63008,publish,33.782302,-118.189359,2012/03/22 17:11:48+00,,6504126.16124646,1743209.05093232
-118.189361055677,33.7895659677879,61136,Metropolitan Transportation Authority (MTA),80000006,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),PCH Metro Station,,,,,,,,http://www.metro.net/around/rail/blue-line/,,,63009,Blue Line,,http://egis3.lacounty.gov/lms/?p=63009,publish,33.789566,-118.189361,2012/03/22 17:11:55+00,,6504130.53361306,1745852.62044831
-118.189487056468,33.8062849671488,61137,Metropolitan Transportation Authority (MTA),80000007,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Willow Metro Station,,,,,,,,http://www.metro.net/around/rail/blue-line/,,,63010,Blue Line,,http://egis3.lacounty.gov/lms/?p=63010,publish,33.806285,-118.189487,2012/03/22 17:12:02+00,,6504103.71640947,1751937.18472272
-118.195716055687,33.819396967699,61138,Metropolitan Transportation Authority (MTA),80000008,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Wardlow Metro Station,,,,,,,,http://www.metro.net/around/rail/blue-line/,,,63011,Blue Line,,http://egis3.lacounty.gov/lms/?p=63011,publish,33.819397,-118.195716,2012/03/22 17:12:10+00,,6502220.62437513,1756712.60988314
-118.210822056275,33.8475659673443,61139,Metropolitan Transportation Authority (MTA),80000009,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Del Amo Metro Station,,,,,,,,http://www.metro.net/around/rail/blue-line/,,,63012,Blue Line,,http://egis3.lacounty.gov/lms/?p=63012,publish,33.847566,-118.210822,2012/03/22 17:12:17+00,,6497653.60857481,1766973.29507039
